user_id,behavior_cluster,final_label,threat_label,avg_after_hours_ratio,avg_unique_pcs,composite_risk_score,combined_threat_score,silhouette_score
AAB0162,2,0,Negligent / Overworked,0.0028394070012708,0.0,0.1812763528776878,0.27290589956064376,0.1616834909255632
AAB0398,3,0,Benign / Stable,0.0021823532969018,0.0,0.068060617364529,0.06994707572881892,0.13711899162467742
AAC0610,0,0,Opportunistic / Suspicious,0.0947910513059341,0.0,0.2425667667856825,0.3440329406510716,0.23423681076650196
AAC0668,1,0,Negligent / Overworked,0.0026406483067957,0.0,0.1107540598837103,0.19368458390695217,0.23231652072154776
AAC3270,3,0,Benign / Stable,0.0,0.0,0.1078998989006795,0.13994045337603858,-0.014532399239053233
AAD2188,3,0,Benign / Stable,0.0022715246926338,0.0,0.116241435073129,0.1249435027777061,0.12725564963626973
AAD3030,1,0,Negligent / Overworked,0.0026406483067957,0.0,0.1776380446016186,0.26176107289358136,0.24615218903475253
AAF0819,0,0,Benign / Stable,0.0015812264494241,0.0160000000311893,0.2153258111234077,0.23553929060676532,0.2816586831754866
AAF3937,1,0,Negligent / Overworked,0.0026406483067957,0.0,0.1555592193148282,0.22923489572334138,0.24637164816456608
AAG1447,1,0,Negligent / Overworked,0.0528129525101728,0.0,0.1859287445971385,0.2689692321266548,0.36869968224056354
AAG3799,1,0,Negligent / Overworked,0.0528129525101728,0.0,0.16472439987456,0.27365059135313446,0.30450141169478734
AAH0721,3,0,Benign / Stable,0.0026188244104735,0.0,0.075291510689555,0.08770904944585435,0.10290671124306984
AAM0138,1,0,Negligent / Overworked,0.0026406483067957,0.0,0.1002599502547178,0.15211304667478556,0.19818622379692677
AAM0729,1,0,Negligent / Overworked,0.0528129525101728,0.0,0.1843382076947738,0.26994469703032464,0.391054520138702
AAP0352,0,0,Benign / Stable,0.0018861773619969,0.0133333333593244,0.1034894314800737,0.178966137326446,0.2820512859560947
AAP1919,0,1,Opportunistic / Suspicious,0.0010355472869205,0.0773333333694151,0.2888580813263434,0.3523614658534314,0.23215688123943726
AAP1942,2,0,Benign / Stable,0.0016855201475088,0.0,0.147350655994979,0.2574017625415062,0.03413682804484626
AAR0641,1,0,Negligent / Overworked,0.0018023472570193,0.0,0.1818030588820801,0.2645535407472153,0.3686904558208861
AAS0144,1,0,Negligent / Overworked,0.0050298040277015,0.0,0.1933935477375052,0.27304103449905726,0.2596217986320441
AAS2987,3,0,Benign / Stable,0.0,0.0,0.1352337139291602,0.11654630678714656,0.3000164723964704
AAS3428,1,0,Negligent / Overworked,0.0056505269627301,0.0352820513155457,0.1722824543881405,0.22846313936471846,0.23873385638599395
AAV3669,3,0,Benign / Stable,0.0050298040277015,0.0,0.1912222177263432,0.2076059349360521,0.01554712468045867
AAW0894,3,0,Benign / Stable,0.0268778542479888,0.0491428571895101,0.1263615326209878,0.13524733930266097,0.12672171487426437
ABB0300,1,0,Negligent / Overworked,0.0053371485289032,0.0199420289296562,0.1980020920288299,0.2551493497399255,0.2816227556184477
ABC3523,3,0,Benign / Stable,0.0022715246926338,0.0,0.1055864664333879,0.09626791207838527,0.22977094069460063
ABD3426,0,0,Benign / Stable,0.1067739827662209,0.0169876543031392,0.2172818738660696,0.2622175173352602,0.2369108206759193
ABE2352,3,0,Benign / Stable,0.0528129525101728,0.0,0.0368342264628503,0.0520218342002283,0.1536163608544955
ABG2353,1,0,Negligent / Overworked,0.0528129525101728,0.0,0.172519281488881,0.25747476171660694,0.36433640182690064
